Model,Fold,MAE,RMSE,MAPE
SARIMA,1,1328.7858709538764,2037.925353486437,16.91745869638837
SARIMA,2,940.102251343385,1090.0591365207388,14.537023012641448
SARIMA,3,847.2048847135361,993.1944230171251,12.466880696247706
Naive,1,1921.1,2975.1711043232453,20.162784627521955
7-Day MA,1,2776.1,2990.4313234047027,40.189693294046954
Naive,2,3044.9333333333334,3298.8484051256432,48.538310540587325
7-Day MA,2,1759.2,2171.8653580121704,24.793611366979597
Naive,3,1762.0,2302.471527149323,24.627153856960383
7-Day MA,3,1667.6952380952382,2275.345345097263,22.64848796710907
Prophet,1,1603.8656986090632,2264.2441720018282,20.971670079153686
Prophet,2,786.4995138673023,922.7589625270256,12.403288378786563
Prophet,3,469.4063593013632,622.8415708994505,6.193740985480291
LSTM,1,2245.86767578125,2670.5104380998027,29.38678034632618
LSTM,2,1737.84619140625,2070.2082020898283,25.729890123442267
LSTM,3,1537.400634765625,2159.7443135704743,20.37236259447626
